# Tiempo de CPU	Tipo Instrucción	Proceso/Despachador	Valor CP
2	LOAD process1.txt	Dispatcher	0
3	LOAD process2.txt	Dispatcher	0
2	PULL	Dispatcher	0
3	EXEC	nombre_proceso_1	0
4	I	nombre_proceso_1	1
5	ES 1	nombre_proceso_1	2
5	PUSH_Bloqueado nombre_proceso_1	Dispatcher	2
7	PULL	Dispatcher	0
8	EXEC	nombre_proceso_2	0
9	I	nombre_proceso_2	1
10	I	nombre_proceso_2	2
11	ES 1	nombre_proceso_2	3
11	PUSH_Bloqueado nombre_proceso_2	Dispatcher	3
13	PULL	Dispatcher	2
14	EXEC	nombre_proceso_1	2
15	I	nombre_proceso_1	3
16	PUSH_Listo nombre_proceso_1	Dispatcher	3
18	PULL	Dispatcher	3
19	EXEC	nombre_proceso_2	3
20	I	nombre_proceso_2	4
21	I	nombre_proceso_2	5
22	I	nombre_proceso_2	6
23	F	nombre_proceso_2	7
23	END	nombre_proceso_2	7
24	PULL	Dispatcher	3
25	EXEC	nombre_proceso_1	3
26	I	nombre_proceso_1	4
27	PUSH_Listo nombre_proceso_1	Dispatcher	4
29	PULL	Dispatcher	4
30	EXEC	nombre_proceso_1	4
31	I	nombre_proceso_1	5
32	I	nombre_proceso_1	6
33	F	nombre_proceso_1	7
33	END	nombre_proceso_1	7
